;; -*- coding: utf-8 -*--
kuai-ding-yi 块定义
kuai-ding-yi-biao 块定义表
kuai-jie-cai-dan 快捷菜单
kuai-jie-jian 快捷键
kuai-shi-li 块实例
kuai-su-cha-kan-gong-ju 快速查看工具
kuai-su-cha-kan-tu-xiang 快速查看图像
kuai-zhao 快照
kuan-gao-bi 宽高比
kuo-zhan-gong-ju-ti-shi 扩展工具提示
la-shen 拉伸
la-shen-kuang 拉伸框
le-ke-si 勒克斯
lei-bie 类别
lian-dong-zuo 链动作
lian-jie 链接
lian-xu-biao-zhu 连续标注
liang-du 亮度
liang-xian-xiang-guan-xing 亮显相关性
lin-shi-wen-jian 临时文件
liu-ming 流明
lu-jing-qu-xian 路径曲线
lu-zhi-de-zhi 录制的值
lun-kuo-qu-xian 轮廓曲线
luo-xuan 螺旋
man-she-se 漫射色
mian-yan-se-mo-shi 面颜色模式
mian-yang-shi 面样式
ming-ling-hang 命令行
ming-ming-dui-xiang 命名对象
ming-ming-fan-wei 命名范围
ming-ming-lu-jing 命名路径
ming-ming-shi-tu 命名视图
mo-ren-guang-yuan 默认光源
mo-ren-tu-xing 默认图形
mo-ren-zhi 默认值
mo-shi 模式
mo-xing 模型
mo-xing-kong-jian 模型空间
mo-xing-shi-kou 模型视口
ni-he-dian 拟合点
ni-he-gong-cha 拟合公差
ping-hua-zhuo-se 平滑着色
ping-mian-shi-tu 平面视图
ping-mian-tou-ying 平面投影
ping-pu-shi-kou 平铺视口
ping-qu-mian 平曲面
ping-yi 平移
ping-zheng-mian 平整面
qi-ye-zi-ding-yi-wen-jian 企业自定义文件
qian-ru 嵌入
qian-xiang-mian 前向面
qing-qiu-yong-hu-shu-ru 请求用户输入
qu-mian-fa-xian 曲面法线
qu-yu-fu-gai-dui-xiang 区域覆盖对象
quan-ju-zhao-ming 全局照明
san-wei-shi-tu 三维视图
san-zhou-jia 三轴架
sao-lue-qu-mian 扫掠曲面
sao-lue-shi-ti 扫掠实体
se-biao 色表
shan-ge 栅格
shan-ge-jie-xian 栅格界限
shang-xia-wen-xuan-xiang-ka 上下文选项卡
shi-dian 视点
shi-jie-zuo-biao 世界坐标
shi-jie-zuo-biao-xi 世界坐标系
shi-jin-zhi-du-shu 十进制度数
shi-jue-yang-shi 视觉样式
shi-kou 视口
shi-kou-pei-zhi 视口配置
shi-liang 矢量
shi-qu-jian 拾取键
shi-ti-dui-xiang 实体对象
shi-ti-li-shi-ji-lu 实体历史记录
shi-ti-tu-yuan 实体图元
shi-tu 视图
shi-tu-lei-bie 视图类别
shi-zi-guang-biao 十字光标
shou-ci-shi-yong-qi-pao 首次使用气泡
shu-ju-lian-jie 数据链接
shu-ru-te-xing 输入特性
shu-xing-biao-ji 属性标记
shu-xing-ding-yi 属性定义
shu-xing-ti-qu-wen-jian 属性提取文件
shu-xing-ti-qu-yang-ban-wen-jian 属性提取样板文件
shu-xing-ti-shi 属性提示
shu-xing-zhi 属性值
shu-zhi-ji 数值集
shuai-jian 衰减
shuang-mian-cai-zhi 双面材质
shui-ping-gong-neng-qu 水平功能区
shui-ping-ji-xian 水平基线
sou-suo-biao-ji 搜索标记
su-bo-ying-yong-zhong-xin 速博应用中心
su-xian 素线
suo-fang 缩放
te-zheng-kong-zhi-kuang 特征控制框
ti-ji-yin-ying 体积阴影
ti-shi 提示
tian-chong 填充
tian-kong 天空
tong-dao 通道
tong-guo-hong-dao-chu-de-xuan-ze 通过宏导出的选择
tou-ming-du 透明度
