;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
hu-lun-bei-er-shi-xing-zheng-xue-yuan 呼伦贝尔市行政学院
hu-lun-bei-er-xue-yuan 呼伦贝尔学院
hu-ma-xian-wei-yuan-hui-dang-xiao 呼玛县委员会党校
hu-nan-an-quan-ji-shu-zhi-ye-xue-yuan 湖南安全技术职业学院
hu-nan-cai-jing-gao-deng-zhuan-ke-xue-xiao 湖南财经高等专科学校
hu-nan-chang-de-ji-suan-ji-zhuan-xiu-xue-yuan 湖南常德计算机专修学院
hu-nan-cheng-jian-zhi-ye-ji-shu-xue-yuan 湖南城建职业技术学院
hu-nan-cheng-shi-xue-yuan 湖南城市学院
hu-nan-da-xue 湖南大学
hu-nan-dian-qi-zhi-ye-ji-shu-xue-yuan 湖南电气职业技术学院
hu-nan-dian-zi-ke-ji-xue-yuan 湖南电子科技学院
hu-nan-ding-cheng-dian-shi-da-xue 湖南鼎城电视大学
hu-nan-du-shi-zhi-ye-xue-yuan 湖南都市职业学院
hu-nan-dui-wai-jing-ji-mao-yi-zhi-ye-xue-yuan 湖南对外经济贸易职业学院
hu-nan-fang-zhi-zhi-gong-da-xue 湖南纺织职工大学
hu-nan-gong-an-gao-deng-zhuan-ke-xue-xiao 湖南公安高等专科学校
hu-nan-gong-cheng-xue-yuan 湖南工程学院
hu-nan-gong-cheng-zhi-ye-ji-shu-xue-yuan 湖南工程职业技术学院
hu-nan-gong-shang-guan-li-zhuan-xiu-xue-yuan 湖南工商管理专修学院
hu-nan-gong-shang-mao-yi-zhuan-xiu-xue-yuan 湖南工商贸易专修学院
hu-nan-gong-xue-yuan 湖南工学院
hu-nan-gong-ye-da-xue 湖南工业大学
hu-nan-gong-ye-zhi-ye-ji-shu-xue-yuan 湖南工业职业技术学院
hu-nan-gong-yi-mei-shu-zhi-ye-xue-yuan 湖南工艺美术职业学院
hu-nan-guang-bo-dian-shi-da-xue 湖南广播电视大学
hu-nan-guo-ji-jing-mao-xue-yuan 湖南国际经贸学院
hu-nan-guo-ji-wen-hua-zhuan-xiu-xue-yuan 湖南国际文化专修学院
hu-nan-hua-gong-zhi-ye-ji-shu-xue-yuan 湖南化工职业技术学院
hu-nan-huan-jing-sheng-wu-xue-yuan 湖南环境生物学院
hu-nan-huang-pu-wai-yu-zhuan-xiu-xue-yuan 湖南黄埔外语专修学院
hu-nan-ji-dian-zhi-ye-ji-shu-xue-yuan 湖南机电职业技术学院
hu-nan-jiao-tong-zhi-ye-ji-shu-xue-yuan 湖南交通职业技术学院
hu-nan-jie-dao-lao-nian-xue-xiao 湖南街道老年学校
hu-nan-jin-rong-ji-shu-zhi-gong-da-xue 湖南金融技术职工大学
hu-nan-jing-ji-ke-ji-zhuan-xiu-xue-yuan 湖南经济科技专修学院
hu-nan-jiu-yi-zhi-ye-ji-shu-xue-yuan 湖南九嶷职业技术学院
hu-nan-ke-ji-jing-mao-zhi-ye-xue-yuan 湖南科技经贸职业学院
hu-nan-ke-ji-xue-yuan 湖南科技学院
hu-nan-ke-ji-zhi-ye-xue-yuan 湖南科技职业学院
hu-nan-lao-gan-bu-da-xue 湖南老干部大学
hu-nan-li-gong-xue-yuan-nan-hu-xue-yuan 湖南理工学院南湖学院
hu-nan-li-gong-zhi-ye-ji-shu-xue-yuan 湖南理工职业技术学院
hu-nan-li-gong-zhuan-xiu-xue-yuan 湖南理工专修学院
hu-nan-meng-dong-he-zhuan-xiu-xue-yuan 湖南猛洞河专修学院
hu-nan-min-zu-zhi-ye-xue-yuan 湖南民族职业学院
hu-nan-nan-fang-zhuan-xiu-xue-yuan 湖南南方专修学院
hu-nan-nong-ye-da-xue 湖南农业大学
hu-nan-nv-zi-da-xue 湖南女子大学
hu-nan-ren-wen-ke-ji-xue-yuan 湖南人文科技学院
hu-nan-shang-mao-xue-yuan 湖南商贸学院
hu-nan-shang-wu-zhi-ye-ji-shu-xue-yuan 湖南商务职业技术学院
hu-nan-shang-xue-yuan 湖南商学院
hu-nan-she-hui-ke-xue-zhuan-xiu-xue-yuan 湖南社会科学专修学院
hu-nan-she-hui-zhu-yi-xue-yuan 湖南社会主义学院
hu-nan-she-wai-jing-ji-xue-yuan 湖南涉外经济学院
hu-nan-sheng-da-zhong-chuan-mei-xue-yuan 湖南省大众传媒学院
hu-nan-sheng-gong-an-gao-deng-zhuan-ke-xue-xiao 湖南省公安高等专科学校
hu-nan-sheng-guang-bo-dian-shi-xue-xiao 湖南省广播电视学校
hu-nan-sheng-lao-gan-bu-da-xue 湖南省老干部大学
hu-nan-sheng-nong-ye-ke-xue-yuan 湖南省农业科学院
hu-nan-sheng-shang-ye-ji-shu-xue-yuan 湖南省商业技术学院
hu-nan-sheng-shao-yang-shi-fan-xue-xiao 湖南省邵阳师范学校
hu-nan-sheng-shi-you-hua-gong-zhi-gong-da-xue 湖南省石油化工职工大学
hu-nan-sheng-wei-dang-xiao 湖南省委党校
hu-nan-sheng-wei-zhi-shu-ji-guan-dang-xiao 湖南省委直属机关党校
hu-nan-sheng-wu-ji-dian-zhi-ye-ji-shu-xue-yuan 湖南生物机电职业技术学院
hu-nan-sheng-xiang-xi-feng-huang-dian-da 湖南省湘西凤凰电大
hu-nan-sheng-xing-zheng-xue-yuan 湖南省行政学院
hu-nan-sheng-yi-ke-da-xue 湖南省医科大学
hu-nan-sheng-zhi-ji-guan-gan-bu-zi-xiu-da-xue 湖南省直机关干部自修大学
hu-nan-shi-da 湖南师大
hu-nan-shi-fan-da-xue 湖南师范大学
hu-nan-shi-you-hua-gong-zhi-ye-ji-shu-xue-yuan 湖南石油化工职业技术学院
hu-nan-shui-li-shui-dian-zhi-ye-xue-yuan 湖南水利水电职业学院
hu-nan-shui-wu-gao-deng-zhuan-ke-xue-xiao 湖南税务高等专科学校
hu-nan-si-fa-jing-guan-zhi-ye-xue-yuan 湖南司法警官职业学院
hu-nan-ti-yu-zhi-ye-ji-shu-xue-yuan 湖南体育职业技术学院
hu-nan-tie-dao-zhi-ye-ji-shu-xue-yuan 湖南铁道职业技术学院
hu-nan-tie-lu-ke-ji-zhi-ye-ji-shu-xue-yuan 湖南铁路科技职业技术学院
hu-nan-tong-de-zhi-ye-xue-yuan 湖南同德职业学院
hu-nan-wang-luo-gong-cheng-zhi-ye-xue-yuan 湖南网络工程职业学院
hu-nan-wen-li-xue-yuan 湖南文理学院
hu-nan-xian-dai-wu-liu-zhi-ye-ji-shu-xue-yuan 湖南现代物流职业技术学院
hu-nan-xiang-jiao-chang-zhi-gong-da-xue 湖南橡胶厂职工大学
hu-nan-xiang-tan-zhi-ye-ji-shu-zhuan-xiu-xue-yuan 湖南湘潭职业技术专修学院
hu-nan-xin-xi-ke-xue-zhi-ye-xue-yuan 湖南信息科学职业学院
hu-nan-xin-xi-zhi-ye-ji-shu-xue-yuan 湖南信息职业技术学院
hu-nan-xing-zheng-xue-yuan 湖南行政学院
hu-nan-ye-jin-zhi-ye-ji-shu-xue-yuan 湖南冶金职业技术学院
hu-nan-yi-da-cheng-jiao-xue-yuan 湖南医大成教学院
hu-nan-yi-shu-zhi-ye-xue-yuan 湖南艺术职业学院
hu-nan-you-se-jin-shu-zhi-gong-da-xue 湖南有色金属职工大学
hu-nan-yu-cai-zhuan-xiu-xue-yuan 湖南育才专修学院
hu-nan-zhong-hua-wen-hua-xue-yuan 湖南中华文化学院
hu-nan-zhong-yi-yao-da-xue 湖南中医药大学
hu-nan-zhong-yi-yao-gao-deng-zhuan-ke-xue-xiao 湖南中医药高等专科学校
hu-qiao-zhen-lao-nian-xue-xiao 胡桥镇老年学校
hu-tang-zhen-wei-yuan-hui-dang-xiao 湖塘镇委员会党校
hu-xian-xian-wei-dang-xiao 户县县委党校
hu-xian-xing-zheng-xue-xiao 户县行政学校
hu-zhen-xue-yuan 虎振学院
hu-zhi-shi-chan-quan-zhuan-xiu-xue-yuan 湖知识产权专修学院
hu-zhou-guang-bo-dian-shi-da-xue 湖州广播电视大学
hu-zhou-shi-fan-xue-yuan 湖州师范学院
hu-zhou-shi-fan-xue-yuan-qiu-zhen-xue-yuan 湖州师范学院求真学院
hu-zhou-shi-wei-dang-xiao 湖州市委党校
hu-zhou-xin-shi-ji-wai-guo-yu-xue-xiao 湖州新世纪外国语学校
hu-zhou-zhi-ye-ji-shu-xue-yuan 湖州职业技术学院
hua-ao-guo-ji-kuai-ji-xue-yuan 华澳国际会计学院
hua-bei-dian-li-da-xue 华北电力大学
hua-bei-dian-ye-lian-he-zhi-gong-da-xue 华北电业联合职工大学
hua-bei-guang-bo-dian-ying-dian-shi-guan-li-gan-bu-xue-xiao 华北广播电影电视管理干部学校
hua-bei-ke-ji-xue-yuan 华北科技学院
hua-bei-mei-tan-yi-xue-yuan 华北煤炭医学院
hua-bei-shi-you-dang-xiao 华北石油党校
hua-bei-shui-dian-xue-yuan 华北水电学院
hua-bei-shui-li-shui-dian-xue-yuan 华北水利水电学院
hua-bei-shui-li-shui-dian-xue-yuan-shui-li-zhi-ye-xue-yuan 华北水利水电学院水利职业学院
hua-bei-wai-jing-mao-yan-xiu-xue-yuan 华北外经贸研修学院
hua-chuan-xian-wei-dang-xiao 桦川县委党校
hua-dong-jiao-tong-da-xue 华东交通大学
hua-dong-li-gong-da-xue 华东理工大学
hua-dong-shi-fan-da-xue 华东师范大学
hua-dong-yi-shu-xue-yuan 华东艺术学院
hua-dong-zheng-fa-da-xue 华东政法大学
hua-du-qu-hua-shan-zhen-wei-dang-xiao 花都区花山镇委党校
hua-du-qu-xing-zheng-gan-bu-dang-xiao 花都区行政干部党校
hua-du-qu-ye-yu-ti-yu-xue-xiao 花都区业余体育学校
hua-dun-wai-yu-xue-xiao 华顿外语学校
hua-gong-xue-yuan 化工学院
hua-guang-she-ying-yi-shu-xue-yuan 华光摄影艺术学院
hua-guang-xue-yuan 华光学院
hua-hai-xue-yuan 华海学院
hua-mei-xue-yuan 华美学院
hua-nan-gong-shang-xue-yuan 华南工商学院
hua-nan-li-gong-da-xue 华南理工大学
hua-nan-nong-ye-da-xue 华南农业大学
hua-nan-nv-zi-xue-yuan 华南女子学院
hua-nan-re-dai-nong-ye-da-xue 华南热带农业大学
hua-nan-shi-da 华南师大
hua-nan-shi-fan-da-xue 华南师范大学
hua-nan-xian-wei-dang-xiao 桦南县委党校
hua-nan-zhi-ye-ji-shu-xue-yuan 华南职业技术学院
hua-ning-xian-pan-xi-zhen-dang-xiao 华宁县盘溪镇党校
hua-qiao-da-xue 华侨大学
hua-sha-zhi-ye-xue-yuan 华厦职业学院
hua-shang-jing-ji-xue-yuan 华商经济学院
hua-tian-lv-you-jiu-dian-guan-li-xue-yuan 华天旅游酒店管理学院
hua-tian-she-wai-xue-yuan 华天涉外学院
hua-tian-she-wai-zhi-ye-ji-shu-xue-yuan 华天涉外职业技术学院
hua-xi-yi-ke-da-xue 华西医科大学
hua-xia-guan-li-xue-yuan 华夏管理学院
hua-xin-xian-dai-zhi-ye-xue-yuan 华新现代职业学院
hua-yang-jie-dao-lao-nian-xue-xiao 华阳街道老年学校
hua-yi-ke-ji-xue-yuan 华忆科技学院
hua-yin-shi-wei-dang-xiao 华阴市委党校
hua-zhong-ke-ji-da-xue 华中科技大学
hua-zhong-nong-ye-da-xue 华中农业大学
hua-zhong-nv-zi-da-xue 华中女子大学
hua-zhong-shi-fan-da-xue 华中师范大学
hua-zhou-shi-guang-bo-dian-shi-da-xue 化州市广播电视大学
hua-zhou-shi-wei-dang-xiao 化州市委党校
huai-an-lao-nian-da-xue 淮安老年大学
huai-an-shi-chu-zhou-qu-wei-dang-xiao 淮安市楚州区委党校
huai-an-shi-guang-bo-dian-shi-da-xue 淮安市广播电视大学
huai-an-shi-wei-dang-xiao 淮安市委党校
huai-an-xin-xi-zhi-ye-ji-shu-xue-yuan 淮安信息职业技术学院
huai-an-zhi-ye-ji-shi-xue-yuan 淮安职业技师学院
huai-bei-guang-bo-dian-shi-da-xue 淮北广播电视大学
huai-bei-mei-tan-shi-fan-xue-yuan 淮北煤炭师范学院
huai-bei-shi-wei-dang-xiao 淮北市委党校
huai-bei-shi-xing-zheng-xue-yuan 淮北市行政学院
huai-bei-zhi-ye-ji-shu-xue-yuan 淮北职业技术学院
huai-hai-gong-xue-yuan 淮海工学院
huai-hai-gong-xue-yuan-dong-gang-xue-yuan 淮海工学院东港学院
huai-hai-zhong-lu-jie-dao-lao-nian-xue-xiao 淮海中路街道老年学校
huai-hua-guang-bo-dian-shi-da-xue 怀化广播电视大学
huai-hua-shi-he-cheng-qu-wei-dang-xiao 怀化市鹤城区委党校
huai-hua-shi-wei-dang-xiao 怀化市委党校
huai-hua-xue-yuan 怀化学院
huai-hua-yi-xue-gao-deng-zhuan-ke-xue-xiao 怀化医学高等专科学校
huai-hua-zhi-ye-ji-shu-xue-yuan 怀化职业技术学院
huai-nan-lian-he-da-xue 淮南联合大学
huai-nan-shi-fan-xue-yuan 淮南师范学院
huai-nan-shi-wei-dang-xiao 淮南市委党校
huai-nan-zhi-ye-ji-shu-xue-yuan 淮南职业技术学院
huai-rou-qu-cheng-ren-dian-da 怀柔区成人电大
huai-yin-gong-xue-yuan-ji-xu-jiao-yu-xue-yuan 淮阴工学院继续教育学院
huai-yin-qu-wei-dang-xiao 槐荫区委党校
huai-yin-qu-wei-dang-xiao 淮阴区委党校
huai-yin-shi-fan-xue-yuan 淮阴师范学院
huai-yin-shi-fan-xue-yuan-wen-tong-xue-yuan 淮阴师范学院文通学院
huan-cui-qu-wei-dang-xiao 环翠区委党校
huan-jing-bao-hu-zhi-ye-ji-shu-xue-yuan 环境保护职业技术学院
huan-jing-yu-neng-yuan-gong-cheng-xue-yuan 环境与能源工程学院
huan-ren-man-zu-zi-zhi-xian-xing-zheng-xue-xiao 桓仁满族自治县行政学校
huan-ren-xian-wei-dang-xiao 桓仁县委党校
huan-tai-xian-wei-dang-xiao 桓台县委党校
huan-tai-xian-wei-lao-gan-bu-dang-xiao 桓台县委老干部党校
huang-dai-zhen-wei-dang-xiao 黄埭镇委党校
huang-du-zhen-lao-nian-xue-xiao 黄渡镇老年学校
huang-gang-guang-bo-dian-shi-da-xue 黄冈广播电视大学
huang-gang-huang-zhou-qu-guang-bo-dian-shi-da-xue 黄冈黄州区广播电视大学
huang-gang-ke-ji-zhi-ye-xue-yuan 黄冈科技职业学院
huang-gang-shi-fan-xue-yuan 黄冈师范学院
huang-gang-zhi-ye-ji-shu-xue-yuan 黄冈职业技术学院
huang-gu-zhen-dang-xiao 黄姑镇党校
huang-he-ke-ji-da-xue 黄河科技大学
huang-he-ke-ji-xue-yuan 黄河科技学院
huang-he-shui-li-ji-shu-xue-yuan 黄河水利技术学院
huang-he-yi-xue-zhuan-xiu-xue-yuan 黄河医学专修学院
huang-huai-xue-yuan 黄淮学院
huang-ke-jing-gong-xue-yuan 黄克竞工学院
huang-lu-zhen-lao-nian-xue-xiao 黄路镇老年学校
huang-mei-xian-xing-zheng-xue-xiao 黄梅县行政学校
huang-nan-zhou-guang-bo-dian-shi-da-xue 黄南州广播电视大学
huang-pu-qu-jiao-yu-xue-yuan 黄浦区教育学院
huang-pu-qu-lao-gan-bu-da-xue 黄浦区老干部大学
huang-shan-qu-wei-dang-xiao 黄山区委党校
huang-shan-shi-wei-dang-xiao 黄山市委党校
huang-shi-guang-bo-dian-shi-da-xue 黄石广播电视大学
huang-shi-li-gong-xue-yuan 黄石理工学院
huang-shi-shi-xing-zheng-xue-yuan 黄石市行政学院
huang-zhong-xian-guang-bo-dian-shi-da-xue 湟中县广播电视大学
hui-dong-xian-guang-bo-dian-shi-da-xue 惠东县广播电视大学
hui-lai-xian-guang-bo-dian-shi-da-xue 惠来县广播电视大学
hui-min-xian-wei-dang-xiao 惠民县委党校
hui-zhou-jing-ji-xue-yuan 惠州经济学院
hui-zhou-li-gong-xue-xiao 惠州理工学校
hui-zhou-shi-guang-bo-dian-shi-da-xue 惠州市广播电视大学
hui-zhou-shi-hui-cheng-qu-wei-dang-xiao 惠州市惠城区委党校
hui-zhou-shi-hui-yang-qu-guang-bo-dian-shi-da-xue 惠州市惠阳区广播电视大学
hui-zhou-shi-hui-yang-qu-wei-dang-xiao 惠州市惠阳区委党校
hui-zhou-shi-wei-dang-xiao 惠州市委党校
hui-zhou-xing-zheng-xue-yuan 惠州行政学院
hui-zhou-xue-yuan 惠州学院
hun-chun-lin-ye-ju-wei-yuan-hui-dang-xiao 珲春林业局委员会党校
hun-chun-shi-wei-dang-xiao 珲春市委党校
hun-chun-shi-xing-zheng-xue-xiao 珲春市行政学校
huo-cheng-xian-wei-dang-xiao 霍城县委党校
huo-cheng-xian-wu-qi-da-xue 霍城县五七大学
huo-cheng-xian-xing-zheng-xue-xiao 霍城县行政学校
huo-na-ge-lan-shang-xue-yuan 霍娜格兰商学院
huo-zhou-xing-zheng-xue-xiao 霍州行政学校
ji-an-shi-cai-zheng-gan-bu-xue-xiao 吉安市财政干部学校
ji-an-shi-ji-zhou-qu-xing-zheng-xue-xiao 吉安市吉州区行政学校
ji-da-ji-chu-yi-xue-yuan 吉大基础医学院
ji-da-wai-mao-xue-yuan 吉大外贸学院
ji-da-yi-lai-mu-dun-xue-yuan 吉大一莱姆顿学院
ji-da-zhi-ye-xue-yuan 吉大职业学院
ji-dong-xian-wei-dang-xiao 鸡东县委党校
ji-guang-xue-yuan 济光学院
ji-guang-zhi-ye-ji-shu-xue-yuan 济光职业技术学院
ji-lian-yi-xue-yuan 冀联医学院
ji-lin-chuan-bo-xue-yuan 吉林传播学院
ji-lin-chuan-bo-zhuan-xiu-xue-yuan 吉林传播专修学院
ji-lin-da-xue 吉林大学
ji-lin-dian-zi-xin-xi-zhi-ye-ji-shu-xue-yuan 吉林电子信息职业技术学院
ji-lin-e-yu-xue-yuan 吉林俄语学院
ji-lin-gong-an-gao-deng-zhuan-ke-xue-xiao 吉林公安高等专科学校
ji-lin-gong-cheng-ji-shu-shi-fan-xue-yuan 吉林工程技术师范学院
ji-lin-gong-shang-xue-yuan 吉林工商学院
ji-lin-gong-xue-yuan 吉林工学院
ji-lin-gong-ye-da-xue 吉林工业大学
ji-lin-gong-ye-zhi-ye-ji-shu-xue-yuan 吉林工业职业技术学院
ji-lin-guang-bo-dian-shi-da-xue 吉林广播电视大学
ji-lin-guo-ji-yu-yan-wen-hua-xue-yuan 吉林国际语言文化学院
ji-lin-hua-gong-xue-yuan 吉林化工学院
ji-lin-hua-qiao-wai-guo-yu-xue-yuan 吉林华侨外国语学院
ji-lin-hua-qiao-wai-guo-yu-xue-yuan 吉林华桥外国语学院
ji-lin-jian-zhu-gong-cheng-xue-yuan 吉林建筑工程学院
ji-lin-jiao-tong-zhi-ye-ji-shu-xue-yuan 吉林交通职业技术学院
ji-lin-lin-xue-yuan 吉林林学院
ji-lin-nong-ye-da-xue 吉林农业大学
ji-lin-nong-ye-gong-cheng-zhi-ye-ji-shu-xue-yuan 吉林农业工程职业技术学院
ji-lin-nong-ye-ke-ji-xue-yuan 吉林农业科技学院
ji-lin-sheng-fa-guan-jin-xiu-xue-yuan 吉林省法官进修学院
ji-lin-sheng-gong-hui-gan-bu-xue-xiao 吉林省工会干部学校
ji-lin-sheng-gong-yun-xue-yuan 吉林省工运学院
ji-lin-sheng-guang-bo-dian-shi-da-xue 吉林省广播电视大学
ji-lin-sheng-jian-zhu-gong-cheng-xue-yuan 吉林省建筑工程学院
ji-lin-sheng-jiao-yu-xue-yuan 吉林省教育学院
ji-lin-sheng-jiao-yu-xue-yuan-zhi-ye-ji-shu-xue-yuan 吉林省教育学院职业技术学院
ji-lin-sheng-lan-dun-zhi-ye-zhuan-xiu-xue-yuan 吉林省蓝盾职业专修学院
ji-lin-sheng-lao-gan-bu-da-xue 吉林省老干部大学
ji-lin-sheng-lao-gan-bu-dang-xiao 吉林省老干部党校
ji-lin-sheng-min-zu-gan-bu-xue-xiao 吉林省民族干部学校
ji-lin-sheng-shang-ye-gao-deng-zhuan-ke-xue-xiao 吉林省商业高等专科学校
ji-lin-sheng-she-hui-zhu-yi-xue-yuan 吉林省社会主义学院
ji-lin-sheng-she-wai-zhi-ye-zhuan-xiu-xue-yuan 吉林省涉外职业专修学院
ji-lin-sheng-wei-dang-xiao 吉林省委党校
ji-lin-sheng-xi-qu-xue-yuan 吉林省戏曲学院
ji-lin-sheng-xing-zheng-guan-li-gan-bu-xue-yuan 吉林省行政管理干部学院
ji-lin-sheng-xing-zheng-xue-yuan 吉林省行政学院
ji-lin-sheng-zhi-shu-ji-guan-gong-wei-dang-xiao 吉林省直属机关工委党校
ji-lin-sheng-zhi-shu-ji-guan-ye-yu-da-xue 吉林省直属机关业余大学
ji-lin-sheng-zhi-ye-bing-yi-xue-yuan 吉林省职业病医学院
ji-lin-sheng-zhong-hua-wen-hua-xue-yuan 吉林省中华文化学院
ji-lin-shi-chang-yi-qu-wei-dang-xiao 吉林市昌邑区委党校
ji-lin-shi-fan-da-xue 吉林师范大学
ji-lin-shi-feng-man-qu-wei-dang-xiao 吉林市丰满区委党校
ji-lin-shi-guang-bo-dian-shi-da-xue 吉林市广播电视大学
ji-lin-shi-wei-dang-xiao 吉林市委党校
ji-lin-shi-xing-zheng-xue-yuan 吉林市行政学院
ji-lin-shi-zhi-gong-da-xue 吉林市职工大学
ji-lin-si-fa-jing-guan-gao-deng-zhi-ye-xue-yuan 吉林司法警官高等职业学院
ji-lin-si-fa-jing-guan-zhi-ye-xue-xiao 吉林司法警官职业学校
ji-lin-ti-yu-xue-yuan 吉林体育学院
ji-lin-tie-dao-zhi-ye-ji-shu-xue-yuan 吉林铁道职业技术学院
ji-lin-tie-lu-yun-shu-zhi-gong-da-xue 吉林铁路运输职工大学
ji-lin-yi-shu-xue-xiao 吉林艺术学校
ji-lin-yi-shu-xue-yuan 吉林艺术学院
ji-lin-yi-shu-xue-yuan-cheng-ren-jiao-yu-xue-yuan 吉林艺术学院成人教育学院
ji-lin-yi-shu-xue-yuan-dong-hua-xue-yuan 吉林艺术学院动画学院
ji-lin-yi-yao-xue-yuan 吉林医药学院
ji-lin-zhi-gong-yi-ke-da-xue 吉林职工医科大学
ji-mei-da-xue 集美大学
ji-mo-shi-dian-da 即墨市电大
ji-mo-shi-wei-dang-xiao 即墨市委党校
ji-nan-da-qian-ke-ji-xue-yuan 济南大千科技学院
ji-nan-da-xue 暨南大学
ji-nan-da-xue 济南大学
ji-nan-guang-bo-dian-shi-da-xue 济南广播电视大学
ji-nan-ji-shu-xue-yuan 济南技术学院
ji-nan-ji-xie-zhi-gong-da-xue 济南机械职工大学
ji-nan-jiao-yu-xue-yuan 济南教育学院
ji-nan-lao-nian-da-xue 济南老年大学
ji-nan-lao-nian-ren-da-xue 济南老年人大学
ji-nan-lian-he-da-xue 济南联合大学
ji-nan-nan-yang-xue-xiao 济南南洋学校
ji-nan-shi-chang-qing-qu-wei-dang-xiao 济南市长清区委党校
ji-nan-shi-fan-xue-xiao 济南师范学校
ji-nan-shi-gong-shang-ju-wei-yuan-hui-dang-xiao 济南市工商局委员会党校
ji-nan-shi-jian-zhu-gong-cheng-xue-yuan 济南市建筑工程学院
ji-nan-shi-li-xia-qu-wei-dang-xiao 济南市历下区委党校
ji-nan-shi-she-hui-zhu-yi-xue-yuan 济南市社会主义学院
ji-nan-shi-shi-zhong-qu-wei-dang-xiao 济南市市中区委党校
ji-nan-shi-tian-qiao-qu-wei-dang-xiao 济南市天桥区委党校
ji-nan-shi-wei-lao-gan-bu-dang-xiao 济南市委老干部党校
ji-nan-shi-xing-zheng-xue-yuan 济南市行政学院
ji-nan-shi-zhi-cheng-ke-ji-zhuan-xiu-xue-yuan 济南市志诚科技专修学院
ji-nan-tie-luo-ju-guang-bo-dian-shi-da-xue 济南铁洛局广播电视大学
ji-nan-zhi-gong-ke-ji-da-xue 济南职工科技大学
ji-nan-zhi-ye-gong-cheng-xue-yuan 济南职业工程学院
ji-nan-zhi-ye-xue-yuan 济南职业学院
ji-ning-guang-bo-dian-shi-da-xue 济宁广播电视大学
ji-ning-ji-shu-xue-yuan 济宁技术学院
ji-ning-shi-ren-min-jing-cha-xue-xiao 济宁市人民警察学校
ji-ning-shi-she-hui-zhu-yi-xue-yuan 济宁市社会主义学院
ji-ning-shi-shi-zhong-qu-wei-dang-xiao 济宁市市中区委党校
ji-ning-shi-wei-dang-xiao 济宁市委党校
ji-ning-shi-wei-lao-gan-bu-dang-xiao 济宁市委老干部党校
ji-ning-xue-yuan 济宁学院
ji-ning-yi-xue-yuan 济宁医学院
ji-ning-zhi-ye-ji-shu-xue-yuan 济宁职业技术学院
ji-shan-xian-wei-dang-xiao 稷山县委党校
ji-shou-da-xue 吉首大学
ji-shou-shi-wei-dang-xiao 吉首市委党校
ji-shui-xian-wei-dang-xiao 吉水县委党校
ji-shui-xian-xing-zheng-xue-xiao 吉水县行政学校
ji-xi-da-xue 鸡西大学
ji-xi-guang-bo-dian-shi-da-xue 鸡西广播电视大学
ji-xi-tian-li-wai-guo-yu-xue-yuan 鸡西天立外国语学院
ji-xian-xian-jiao-shi-jin-xiu-xue-yuan 集贤县教师进修学院
ji-xian-xian-wei-dang-xiao 蓟县县委党校
ji-xian-xian-wei-dang-xiao 集贤县委党校
ji-xian-xian-xing-zheng-gan-bu-xue-xiao 集贤县行政干部学校
ji-xie-dian-zi-gong-cheng-shi-jin-xiu-da-xue 机械电子工程师进修大学
ji-xie-gong-ye-zhi-gong-da-xue 机械工业职工大学
ji-xie-zhi-ye-da-xue 机械职业大学
ji-xu-jiao-yu-xue-yuan 继续教育学院
ji-yang-xian-dang-xiao 济阳县党校
ji-zhong-ke-ji-xue-yuan 冀中科技学院
ji-zhong-zhi-ye-xue-yuan 冀中职业学院
ji-zhuang-guo-ji-gong-shang-guan-li-xue-yuan 冀壮国际工商管理学院
jia-ding-gong-ye-qu-dang-xiao 嘉定工业区党校
jia-ding-qu-lao-gan-bu-da-xue 嘉定区老干部大学
jia-ding-qu-wei-dang-xiao 嘉定区委党校
jia-ge-da-qi-qu-wei-dang-xiao 加格达奇区委党校
jia-mu-si-da-xue 佳木斯大学
jia-mu-si-guang-bo-dian-shi-da-xue 佳木斯广播电视大学
jia-mu-si-shi-lian-he-zhi-gong-da-xue 佳木斯市联合职工大学
jia-mu-si-shi-she-hui-zhu-yi-xue-yuan 佳木斯市社会主义学院
jia-mu-si-shi-wei-dang-xiao 佳木斯市委党校
jia-mu-si-shi-xing-zheng-xue-yuan 佳木斯市行政学院
jia-na-da-xue-yuan-mai-di-xun-xue-yuan 加拿大学院麦迪逊学院
jia-shi-xian-xing-zheng-xue-xiao 伽师县行政学校
jia-xing-guang-bo-dian-shi-da-xue 嘉兴广播电视大学
jia-xing-ji-suan-ji-pei-xun-xue-yuan 嘉兴计算机培训学院
jia-xing-jiao-yu-xue-yuan 嘉兴教育学院
jia-xing-lu-jie-dao-lao-nian-xue-xiao 嘉兴路街道老年学校
jia-xing-nan-yang-zhi-ye-ji-shu-xue-yuan 嘉兴南洋职业技术学院
jia-xing-shi-xing-zheng-xue-yuan 嘉兴市行政学院
jia-xing-shi-xiu-zhou-qu-wei-dang-xiao 嘉兴市秀洲区委党校
jia-xing-wai-guo-yu-xue-xiao 嘉兴外国语学校
jia-xing-xue-yuan 嘉兴学院
jia-xing-zhi-ye-ji-shu-xue-yuan 嘉兴职业技术学院
jia-yin-xian-wei-dang-xiao 嘉荫县委党校
jia-ying-da-xue 嘉应大学
jia-yu-guan-shi-wei-dang-xiao 嘉峪关市委党校
jian-chang-xian-jiao-shi-jin-xiu-xue-xiao 建昌县教师进修学校
jian-de-jiao-shi-jin-xiu-xue-xiao 建德教师进修学校
jian-dong-mei-rong-mei-fa-xing-xue-yuan 尖东美容美发型学院
